sex,age,denom_breast_cancer,denom_cirrhosis,denom_esophageal_cancer,denom_epilepsy,denom_injuries,denom_ischaemic_stroke,denom_aud,denom_liver_cancer,denom_ischemic_heart_disease,denom_pancreatitis
Female,15,1.0719469649844864,1.7798680758140302,1.11942996620946,1.3437814070648644,1.033320817514024,1.053432323268268,2.837204858481344,1.0502153088469952,1.0,1.1023648185602477
Female,16,1.0734174759180124,1.8040163508341902,1.1220768870932298,1.3507990666721847,1.0339414803172822,1.0563237004807575,2.916416972564814,1.0510972156183156,1.0,1.1046073067233877
Female,17,1.070980698886805,1.7663332938362082,1.1177271602437189,1.3377623554208522,1.0328976632033926,1.0521249233389756,2.802050684581809,1.0496032786553713,1.0,1.1009252943184893
Female,18,1.0718174800645208,1.778180094639285,1.1192061853819646,1.343668524501778,1.033264005409833,1.0532598348904374,2.832426468984367,1.0501335119147404,1.0,1.1021733431106397
Female,19,1.0725028188204746,1.7884389341290272,1.1203793232595678,1.3401944256080558,1.0335564527351477,1.0546715166711917,2.8763529013962903,1.0505608819663583,1.0,1.1031968052105534
Female,20,1.072734640144809,1.784225036114969,1.1206391649883043,1.3477894049937091,1.033719564196395,1.052833806361804,2.8342698888083087,1.0508525941406548,1.0,1.1034058727234715
Female,21,1.071277599101822,1.77265721989692,1.1182924845903635,1.3358670404931143,1.0330083130235013,1.0531509111498718,2.8291015253894463,1.049747095564838,1.0,1.1014094894737612
Female,22,1.0712812811071646,1.777108931113605,1.1184200088096485,1.3381609525057874,1.0329785496554673,1.0541355411596902,2.8488803094888264,1.0496691765143735,1.0,1.1014979823076754
Female,23,1.0723157972197004,1.7879399496416148,1.120130251001734,1.3428094845056806,1.0334613938255681,1.054725947277718,2.873028235440092,1.0504020129566851,1.0,1.1029624555170336
Female,24,1.071293790226364,1.7742673856336275,1.1183584615342645,1.3360545846058438,1.0330033341696947,1.05348465255615,2.8355233748319817,1.0497296007867332,1.0,1.1014611793862281
Female,25,1.0662263242210381,1.6519586494780376,1.1081432358259777,1.291568227963145,1.0311251781163187,1.0359927648406935,2.391139618097749,1.0473262269516603,1.0,1.0930176473487714
Female,26,1.065648320744008,1.6414303009362887,1.107079289034996,1.289657258853264,1.030892370726718,1.0345623061601612,2.3545595347191917,1.047004540770921,1.0,1.0921146477982762
Female,27,1.0650496828391678,1.636790307163907,1.1061184981802843,1.2857638160802376,1.0306016017261348,1.0347266035922256,2.3533926165579033,1.0465502480049427,1.0,1.0912949635572997
Female,28,1.0651095815266045,1.6374412729463794,1.1062149734435123,1.2849570946293365,1.030625506863306,1.034765416568647,2.3543050581372844,1.046591008797691,1.0,1.0913812637605314
Female,29,1.0648490845321366,1.636329363595357,1.1058144377284542,1.2831918637259259,1.0304927016280496,1.0351020289921038,2.359636045548597,1.046375347745437,1.0,1.0910400055395466
Female,30,1.066339237919514,1.6539185328808743,1.108363036967376,1.2941889034199614,1.0311742240260695,1.0362143555411536,2.395211703788543,1.0473889423471459,1.0,1.0931950762845069
Female,31,1.0662675828534158,1.6540370729596725,1.108250721940945,1.2916057730971293,1.0311323237577257,1.0365222313136808,2.4025063925859884,1.0473190180989447,1.0,1.093107942892767
Female,32,1.0650172317807227,1.6400929506009057,1.1061543828601363,1.2846835648376056,1.0305591806393435,1.0355609163843449,2.372781102476162,1.0464602803656258,1.0,1.091317080862082
Female,33,1.0665056053441828,1.6535662245682519,1.1085766280510374,1.2932760955956337,1.031263614446769,1.0358960493584297,2.3896307726996264,1.0475423188556938,1.0,1.093391853640572
Female,34,1.0659020802083663,1.6478117312000933,1.1075894093589094,1.2908311144949975,1.0309837555422936,1.0355499406054596,2.3801976376216496,1.0471206481660984,1.0,1.0925408567081631
Female,35,1.0664298869784357,1.6573308183084425,1.1085609430022012,1.2930396672921014,1.0311969523036848,1.0368754526484785,2.4127418661810283,1.0474122234509877,1.0,1.0933651708834622
Female,36,1.0648902201462627,1.6306004267514982,1.1057336678559717,1.2833830681421046,1.0305568950163533,1.033655113271831,2.327185848347116,1.0465156158406654,1.0,1.0909861846900337
Female,37,1.0656171347215568,1.6460944359096934,1.1071374066903699,1.2868629882985072,1.0308379859551877,1.0358455340716046,2.3843709763183245,1.0468883910908804,1.0,1.0921622405916485
Female,38,1.0655133788746336,1.6446783006396308,1.1069730648428302,1.288497899051759,1.0307918044017093,1.0356711154460592,2.375860947024215,1.0468121096309582,1.0,1.092014263398788
Female,39,1.0640419670139107,1.6241965676988246,1.1044029471597294,1.2796847663700701,1.0301437218559117,1.0336073114818674,2.318972957500168,1.0458720924038114,1.0,1.089833261026112
Female,40,1.0651236288248758,1.6356172381796343,1.1061922474869714,1.284606897842658,1.0306462903624085,1.034370548763683,2.344609671726526,1.046628489825317,1.0,1.0913680491513775
Female,41,1.0653728693697275,1.6474053796493136,1.106833818555812,1.2864721934981063,1.0306978247049932,1.0366182303679137,2.399229691375585,1.046644510384419,1.0,1.0918882925102702
